ix,iy,x,y,rho,eigvec
2,4,-5.6,-4.8,0.0294696839910224,-5.12498249695731e-06
2,5,-5.6,-4.4,0.0294887797325235,-7.83340372969939e-06
2,6,-5.6,-4,0.0295173746522647,-1.18773282504928e-05
2,7,-5.6,-3.6,0.0295579919240327,-1.77220255790856e-05
2,8,-5.6,-3.2,0.0296131128984693,-2.57595300709285e-05
2,9,-5.6,-2.8,0.0296844366802877,-3.6114517641354e-05
2,10,-5.6,-2.4,0.0297718494148685,-4.9123767756874e-05
2,11,-5.6,-2,0.0298723588607248,-6.42886142927978e-05
2,12,-5.6,-1.6,0.0299793230668264,-8.04327628013948e-05
2,13,-5.6,-1.2,0.0300825363917596,-9.59780553525788e-05
2,14,-5.6,-0.8,0.0301694564495456,-0.000109482762516656
2,15,-5.6,-0.4,0.0302277746635803,-0.000118343325393415
2,16,-5.6,0,0.0302483372194912,-0.000121526935900665
2,17,-5.6,0.4,0.0302277612968139,-0.00011846206773951
2,18,-5.6,0.8,0.0301694321739287,-0.000109278697141286
2,19,-5.6,1.2,0.0300825039977804,-9.61592582756499e-05
2,20,-5.6,1.6,0.0299792882418969,-8.05766201665696e-05
2,21,-5.6,2,0.029872324652871,-6.42758506334126e-05
2,22,-5.6,2.4,0.0297718243621746,-4.92174668540654e-05
2,23,-5.6,2.8,0.0296844254674417,-3.61201288715442e-05
2,24,-5.6,3.2,0.0296131391211529,-2.55533351020273e-05
2,25,-5.6,3.6,0.0295580915745094,-1.7615492297253e-05
2,26,-5.6,4,0.0295176309503401,-1.1868979877406e-05
2,27,-5.6,4.4,0.0294893439077826,-7.50952448243098e-06
2,28,-5.6,4.8,0.0294711319782674,-4.89092031990634e-06
2,29,-5.6,5.2,0.0294599259853329,-2.83318561193997e-06
2,30,-5.6,5.6,0.0294524711870422,-1.58900026174098e-06
2,31,-5.6,6,0.0294967504674162,4.02309122167016e-07
3,0,-5.2,-6.4,0.0294967504674162,-5.97340151413533e-08
3,1,-5.2,-6,0.0294516252442918,-2.25000203289171e-06
3,2,-5.2,-5.6,0.029458317867725,-3.56067368094895e-06
3,3,-5.2,-5.2,0.029470005344391,-5.48861649094988e-06
3,4,-5.2,-4.8,0.0294907821507533,-8.55428132900674e-06
3,5,-5.2,-4.4,0.029525066842225,-1.34289323786781e-05
3,6,-5.2,-4,0.0295771770805363,-2.1057680831367e-05
3,7,-5.2,-3.6,0.0296528873561577,-3.20411640905903e-05
3,8,-5.2,-3.2,0.0297582602061192,-4.76513243029325e-05
3,9,-5.2,-2.8,0.0298981593782768,-6.85637454453158e-05
3,10,-5.2,-2.4,0.0300739604624843,-9.5054901702957e-05
3,11,-5.2,-2,0.0302809004306273,-0.000126917800030681
3,12,-5.2,-1.6,0.0305058223985872,-0.000160770419199358
3,13,-5.2,-1.2,0.0307267605761343,-0.000195029044949446
3,14,-5.2,-0.8,0.0309155199106932,-0.000224115864916079
3,15,-5.2,-0.4,0.0310433527646711,-0.000243814474332252
3,16,-5.2,0,0.0310886403397638,-0.000250819957975688
3,17,-5.2,0.4,0.0310433227663982,-0.000243883350761479
3,18,-5.2,0.8,0.0309154653977437,-0.000223804902001524
3,19,-5.2,1.2,0.030726689647195,-0.000194945487914291
3,20,-5.2,1.6,0.0305057463493798,-0.000161125263361011
3,21,-5.2,2,0.0302808273259449,-0.000126894957285574
3,22,-5.2,2.4,0.0300739020628376,-9.53142123426569e-05
3,23,-5.2,2.8,0.0298981220374143,-6.86816706085044e-05
3,24,-5.2,3.2,0.029758267855442,-4.76843105890673e-05
3,25,-5.2,3.6,0.0296529762191818,-3.20923006173712e-05
3,26,-5.2,4,0.0295774259768496,-2.1012536825736e-05
3,27,-5.2,4.4,0.0295256198697971,-1.32993073961631e-05
3,28,-5.2,4.8,0.0294922290264608,-7.94421168366846e-06
3,29,-5.2,5.2,0.0294717012327452,-4.63000198272613e-06
3,30,-5.2,5.6,0.029458723124296,-2.58704099629324e-06
3,31,-5.2,6,0.0294967504674162,3.56748175048134e-07
4,0,-4.8,-6.4,0.0294967504674162,6.639743092764e-08
4,1,-4.8,-6,0.0294583256614704,-3.34346348679494e-06
4,2,-4.8,-5.6,0.0294696839910225,-5.39094995134406e-06
4,3,-4.8,-5.2,0.0294907821507533,-8.78453416387113e-06
4,4,-4.8,-4.8,0.0295277789688814,-1.42714509015806e-05
4,5,-4.8,-4.4,0.0295886703696761,-2.30441837333717e-05
4,6,-4.8,-4,0.0296831622151135,-3.68654781083555e-05
4,7,-4.8,-3.6,0.0298240947217036,-5.78685952543711e-05
4,8,-4.8,-3.2,0.0300258592284222,-8.8084574556301e-05
4,9,-4.8,-2.8,0.0303014735958338,-0.000130345011874721
4,10,-4.8,-2.4,0.0306575490911176,-0.000184649149413414
4,11,-4.8,-2,0.0310877157071233,-0.000251117903763077
4,12,-4.8,-1.6,0.0315663884112142,-0.00032508114520236
4,13,-4.8,-1.2,0.0320462205704614,-0.000399457441748522
4,14,-4.8,-0.8,0.0324627809507866,-0.00046421370884628
4,15,-4.8,-0.4,0.0327481563231232,-0.000509109083402386
4,16,-4.8,0,0.0328498574207006,-0.000524603618181405
4,17,-4.8,0.4,0.032748087748535,-0.000508859231037227
4,18,-4.8,0.8,0.0324626572017286,-0.000464042314245646
4,19,-4.8,1.2,0.0320460625591495,-0.000399516729694267
4,20,-4.8,1.6,0.0315662210919159,-0.000325133522627714
4,21,-4.8,2,0.0310875582265511,-0.000250928804340842
4,22,-4.8,2.4,0.0306574190416993,-0.000184602706630112
4,23,-4.8,2.8,0.0303013791869167,-0.000129951058598055
4,24,-4.8,3.2,0.0300258198449433,-8.84913451867369e-05
4,25,-4.8,3.6,0.0298241392996148,-5.78940618558321e-05
